gen best mean std
0 93.02168263345199 15.97466886637883 32.479036797108364
1 93.26168263345198 32.9713072199115 39.31644579712392
2 93.93679627126203 41.23982718716702 39.73981712777731
3 93.93679627126203 57.45760366964702 40.40834742052044
4 93.93679627126203 59.61272109961258 39.9712518694961
5 93.93679627126203 62.99875794896831 39.76910121592613
6 93.93679627126203 64.03087566637548 38.94022976450784
7 93.93679627126203 77.5734457472304 30.68435941814991
8 93.93679627126203 71.65130152971267 35.35752387275541
9 93.93679627126203 70.67352958413765 36.34097903998136
10 93.93679627126203 73.27867527152506 33.89375010631549
11 94.1818853407695 73.30238783811507 31.433720645231492
12 93.93679627126203 74.9586064965423 32.73036428978776
13 93.9628317747068 63.10445092003024 38.65703069510297
14 94.10480267679885 70.61320350514335 35.90311900790561
