gen best mean std
0 24.057053366818376 -80.93118808831872 43.483031738556946
1 25.36432642851846 -77.53673806955126 42.27249178922752
2 25.175937745579297 -79.03724834351155 41.441982394195215
3 23.512016985951885 -80.86377356418993 38.58347815942473
4 23.25363564110114 -78.98719137046453 42.43875745383137
5 23.953255246932116 -79.29121961050889 41.35417200081434
6 24.465628940482134 -79.84992185957307 39.6494094830594
7 25.556777111191842 -78.85547915264796 40.672846036633025
8 23.084917065905152 -80.6239870095095 39.23707607232621
9 23.665747913676206 -80.4654598372639 38.11914906045911
10 22.806680152442574 -78.509232273268 39.79800758581517
11 25.175937745579297 -79.09006475240999 40.18129689109169
12 26.816125348710194 -78.39402630446418 43.01192654118525
13 25.9886773057327 -80.66823577241128 39.31253098070162
14 25.172349604646488 -79.13143669175717 41.577596085702226
15 24.147909864721882 -77.87570390963472 42.297836790355014
16 24.504260194065232 -79.2363626842228 39.800649967483125
17 25.55005806511083 -80.59717030579426 39.49384845342168
18 23.922486327136205 -78.44530092186878 40.939233928257984
19 23.53385685247193 -79.6681482914314 40.772678039580455
