gen best mean std
0 0.0 -73.0 37.16180835212409
1 0.0 -77.25 33.165305667217964
2 0.0 -74.75 37.61565498565724
3 0.0 -76.75 35.45331437256607
4 0.0 -75.0 36.53765181289022
5 0.0 -78.0 34.14674215792775
6 0.0 -78.75 32.185982973959334
7 0.0 -73.75 38.45045513384724
8 0.0 -76.75 34.08720434415237
9 0.0 -75.5 35.1390096616282
10 0.0 -76.75 35.38272883766881
11 0.0 -77.75 35.17722985114092
12 0.0 -74.0 37.33630940518894
13 0.0 -76.5 35.53519382246282
14 0.0 -75.25 36.536796520767936
15 0.0 -75.0 35.98610843089316
16 0.0 -75.25 36.67338953519295
17 0.0 -74.25 37.208030047289526
18 0.0 -76.0 35.12833614050059
19 0.0 -79.5 31.776563690871296
