

gen best mean std
0 21.919577 -80.631226 40.690463
1 21.593092 -57.247559 39.946677
2 23.539819 -38.620459 41.364847
3 25.733449 -32.363421 40.973502
4 24.398144 -28.739831 48.272915
5 25.056332 -10.907931 44.151847
6 25.655765 -1.849131 38.798867
7 24.670858 6.536697 29.015346
8 59.779709 1.317586 41.099379
9 25.423627 -4.200368 42.907346
10 25.644298 -1.985162 42.096031
11 26.016515 2.905257 37.577773
12 25.226339 8.473686 32.841941
13 25.70971 7.982725 31.553169
14 25.644298 12.333721 26.552447
