

gen best mean std
0 92.33704 9.305569 29.069955
1 92.33704 25.542757 36.518769
2 92.33704 48.995418 34.631877
3 92.33704 64.042548 36.529151
4 92.33704 66.458631 36.359953
5 92.33704 70.972667 30.982014
6 92.500134 69.187042 33.538204
7 92.500134 62.012424 37.353528
8 92.58272 66.761728 37.322354
9 92.58272 64.274217 39.343202
10 92.58272 72.35506 34.170897
11 92.58272 71.699634 35.949345
12 92.927 71.054327 33.823503
13 93.127 72.679477 34.700246
14 93.727 72.606131 34.984062
15 93.727 73.821738 31.951548
16 93.727 66.39807 39.597305
17 93.727 73.746294 32.785934
18 93.727 70.939417 34.910624
19 93.727 74.112177 32.011178
20 93.727 73.173668 35.035054
21 93.727 77.454415 30.833789
22 93.727 75.841481 32.677171
23 93.727 76.586703 31.088593
24 93.727 69.103285 37.016324
25 93.727 78.394488 30.386869
26 93.727 81.387283 25.31122
27 93.727 85.375024 21.183362
28 93.727 85.873434 22.469354
29 93.727 85.348503 21.342484
