

gen best mean std
0 92.368559 5.340665 21.385655
0 91.946285 14.665708 29.815829
1 93.558358 33.271324 38.421247
2 93.782832 56.182932 39.222282
3 93.911096 72.816279 32.304213
4 93.936796 71.823148 36.350425
5 93.936796 77.565131 31.396601
6 93.936796 79.519766 30.698259
7 93.936796 76.555944 34.531171
8 93.936796 82.213334 28.436256
9 93.936796 81.092595 29.309971
10 93.936796 86.558988 20.924437
11 93.936796 84.636916 24.386596
12 93.991733 86.152349 23.743867
13 93.936796 85.782642 22.782141
14 93.936796 83.325627 27.24089
